1,Wrapsafe,2004-03-13,18.8
2,Tin,2000-10-09,23.7
3,Flexidy,2009-02-11,14.7
4,Holdlamis,2007-06-02,14.0
5,Sonair,2011-05-09,8.6
6,Temp,2003-05-13,8.4
7,Holdlamis,2006-10-26,23.0
8,Andalax,2010-11-03,10.2
9,Flowdesk,2002-02-13,17.4
10,Viva,2013-02-11,13.2
11,Voltsillam,2015-02-24,1.5
12,Latlux,2015-01-14,4.2
13,Zamit,2001-12-09,17.4
14,Asoka,2001-08-20,11.8
15,Cardguard,2007-02-22,13.4
16,Bigtax,2000-06-12,14.1
17,Konklux,2002-11-06,7.9
18,Overhold,2008-02-17,8.7
19,Pannier,2012-09-27,14.9
20,Sonsing,2006-08-15,5.5
21,Kanlam,2001-03-06,7.3
22,Namfix,2009-01-13,15.6
23,It,2011-02-23,6.4
24,Y-Solowarm,2014-03-12,11.5
25,Home Ing,2001-01-21,3.5
26,Greenlam,2005-06-25,5.7
27,Konklux,2005-06-01,20.7
28,Opela,2004-01-12,2.7
29,Domainer,2008-07-26,15.7
30,Vagram,2008-09-29,18.3
31,Gembucket,2012-08-21,10.5
32,Zamit,2011-05-29,20.8
33,Kanlam,2005-09-21,22.8
34,Alphazap,2015-02-24,21.1
35,Zaam-Dox,2013-12-15,23.1
36,Transcof,2002-11-17,10.2
37,Namfix,2001-03-19,4.0
38,Bytecard,2000-11-12,7.7
39,Trippledex,2001-03-24,2.7
40,Zoolab,2012-06-15,25.0
41,Prodder,2011-04-17,22.2
42,Overhold,2003-06-30,6.6
43,Fintone,2012-03-26,4.4
44,Home Ing,2006-12-16,10.7
45,Sub-Ex,2010-04-28,8.7
46,Home Ing,2013-11-14,19.5
47,Ronstring,2009-06-11,2.9
48,Greenlam,2015-01-01,7.1
49,Ventosanzap,2006-09-04,1.5
50,Voyatouch,2010-12-16,15.0
51,Sonsing,2008-11-28,14.2
52,Tresom,2013-10-15,7.1
53,Keylex,2011-06-04,14.0
54,Fix San,2006-06-09,8.5
55,Treeflex,2011-04-17,16.4
56,Lotstring,2005-06-04,22.7
57,Sonair,2010-02-25,15.8
58,It,2008-08-19,21.3
59,Fix San,2012-07-13,5.1
60,Zoolab,2008-10-06,15.8
61,Ventosanzap,2011-03-06,16.9
62,Y-find,2003-08-15,13.8
63,It,2002-08-25,4.1
64,Fintone,2003-07-04,7.8
65,Bamity,2011-02-28,20.3
66,Stim,2012-08-25,7.2
67,Aerified,2004-04-10,3.0
68,Job,2000-05-13,10.2
69,Treeflex,2007-03-18,17.6
70,Tampflex,2014-11-05,21.5
71,Stronghold,2003-09-23,15.4
72,Hatity,2009-08-16,5.1
73,Opela,2010-10-17,13.1
74,Flowdesk,2011-02-14,11.0
75,Mat Lam Tam,2002-01-14,21.5
76,Sonair,2004-07-15,9.1
77,Matsoft,2003-03-30,2.0
78,Fintone,2002-10-19,6.2
79,Fintone,2012-08-20,11.4
80,Tampflex,2008-04-20,15.1
81,Aerified,2011-03-07,17.9
82,Asoka,2002-08-13,22.5
83,Zathin,2001-11-21,1.9
84,Wrapsafe,2006-11-25,10.0
85,Alphazap,2009-01-03,1.6
86,Stronghold,2000-08-16,1.6
87,Asoka,2009-09-22,1.0
88,Sub-Ex,2007-04-09,10.5
89,It,2008-10-31,17.9
90,Temp,2014-07-09,18.2
91,Asoka,2004-02-29,12.7
92,Opela,2014-07-22,7.0
93,Konklab,2001-02-05,24.9
94,Duobam,2011-12-04,15.5
95,Konklux,2006-02-08,9.4
96,Flowdesk,2005-03-23,3.4
97,Opela,2001-12-23,15.2
98,Zathin,2011-10-25,7.8
99,Stringtough,2000-09-26,2.2
100,Cookley,2012-09-13,3.9
101,Namfix,2012-06-09,20.7
102,Cardify,2008-03-04,7.5
103,Zamit,2006-05-31,19.7
104,Transcof,2005-11-30,16.4
105,Hatity,2015-01-22,21.5
106,Konklux,2001-10-16,24.3
107,Asoka,2008-07-22,1.8
108,Zaam-Dox,2001-12-21,11.0
109,Aerified,2015-06-21,8.4
110,Voyatouch,2012-02-16,18.9
111,Bigtax,2013-06-02,8.2
112,Tres-Zap,2010-09-19,20.7
113,Sub-Ex,2002-07-20,13.8
114,Solarbreeze,2009-02-09,7.2
115,Konklab,2009-08-18,17.1
116,Cookley,2008-02-12,1.7
117,Fixflex,2008-03-30,4.2
118,Otcom,2000-07-29,13.4
119,Hatity,2001-12-17,4.0
120,Temp,2000-01-26,10.2
121,Bamity,2004-07-23,7.4
122,Otcom,2005-12-05,11.8
123,Fix San,2001-09-16,24.2
124,Temp,2014-03-18,2.9
125,Treeflex,2004-04-27,7.0
